 CH3        C4H2                  SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.100E-11  0.000E+00  0.390E+04  0.100E+02  0.100E+03
 C3H3       C4H2                  SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H5       C2H2                  SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H5       CH3C2H                SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H5       CH2CCH2               SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H5       C3H5                  SOOT                              0.113E-24 -0.375E+01  0.494E+03  0.100E+02  0.100E+03  0.170E-10  0.000E+00 -0.132E+03  0.200E+01  0.100E+03
 C3H5       C3H7                  SOOT                              0.113E-24 -0.375E+01  0.494E+03  0.100E+02  0.100E+03  0.340E-10  0.000E+00 -0.660E+02  0.200E+01  0.100E+03
 C3H5       C4H2                  SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H7       C2H4                  SOOT                              0.139E-28  0.000E+00  0.562E+03  0.100E+02  0.100E+03  0.750E-13  0.000E+00  0.347E+04  0.200E+01  0.100E+03
 C3H7       CH3C2H                SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.120E-11  0.000E+00  0.453E+04  0.100E+02  0.100E+03
 C3H7       CH2CCH2               SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.120E-11  0.000E+00  0.453E+04  0.100E+02  0.100E+03
 C3H7       C3H6                  SOOT                              0.139E-28  0.000E+00  0.562E+03  0.100E+02  0.100E+03  0.750E-13  0.000E+00  0.347E+04  0.200E+01  0.100E+03
 C3H7       C3H7                  SOOT                              0.977E-21 -0.639E+01  0.301E+03  0.100E+02  0.100E+03  0.170E-10  0.000E+00  0.000E+00  0.150E+01  0.100E+03
 C3H7       C4H2                  SOOT                              0.330E-29  0.000E+00  0.740E+03  0.100E+02  0.100E+03  0.530E-13  0.000E+00  0.350E+04  0.100E+02  0.100E+03
 C3H7       C4H3                  SOOT                              0.113E-24 -0.375E+01  0.494E+03  0.100E+02  0.100E+03  0.160E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C4H3       C2H2                  C6H5                              0.255E-21 -0.128E+02  0.589E+04  0.200E+01  0.100E+03  0.409E-15  0.470E+00  0.302E+04  0.200E+01  0.100E+03
 C4H3       C4H3                  SOOT                              0.113E-24 -0.375E+01  0.494E+03  0.100E+02  0.100E+03  0.120E-09  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C6H5       C2H2                  SOOT                              0.389E-28 -0.408E+01 -0.403E+03  0.200E+01  0.100E+03  0.486E-12  0.156E+01  0.191E+04  0.200E+01  0.100E+03
 N4S        N4S                   N2                                0.410E-33  0.000E+00  0.000E+00  0.250E+01  0.100E+03  0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 NH2        H                     NH3                               0.100E-32  0.000E+00  0.000E+00  0.100E+02  0.100E+03  0.350E-11  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 NH2        CH3                   CH3NH2                            0.180E-26 -0.385E+01  0.000E+00  0.200E+01  0.700E+01  0.130E-09  0.420E+00  0.000E+00  0.200E+01  0.700E+01
 NH2        NH2                   N2H4                              0.191E-28 -0.390E+01  0.000E+00  0.130E+01  0.100E+03  0.118E-09  0.270E+00  0.000E+00  0.120E+01  0.100E+03
 CN         H                     HCN                               0.852E-29 -0.220E+01  0.567E+03  0.100E+02  0.100E+03  0.173E-09 -0.500E+00  0.000E+00  0.100E+02  0.100E+03
 CN         CN                    C2N2                              0.322E-28 -0.261E+01  0.000E+00  0.300E+01  0.100E+03  0.940E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 CN         C3N                   C4N2                              0.322E-28 -0.261E+01  0.000E+00  0.100E+02  0.100E+03  0.940E-11  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 HCN        H                     H2CN                              0.777E-30 -0.273E+01  0.386E+04  0.100E+02  0.100E+03  0.550E-10  0.000E+00  0.244E+04  0.100E+02  0.100E+03
 HCN        CH3                   SOOT                              0.777E-30 -0.273E+01  0.386E+04  0.100E+02  0.100E+03  0.550E-10  0.000E+00  0.244E+04  0.100E+02  0.100E+03
 HCN        C2H5                  SOOT                              0.777E-30 -0.273E+01  0.386E+04  0.100E+02  0.100E+03  0.550E-10  0.000E+00  0.244E+04  0.100E+02  0.100E+03
