 CH         C3                    SOOT       H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH         cC3H2                 C4H2       H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH         tC3H2                 C4H2       H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH         lC3H2                 C4H2       H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH         CH3C2H                C4H4       H                      0.400E-09  0.000E+00  0.000E+00  0.200E+01  0.140E+02
 CH         CH2CCH2               C4H4       H                      0.420E-09  0.000E+00  0.000E+00  0.200E+01  0.140E+02
 CH         C3H6                  C4H6       H                      0.420E-09  0.000E+00  0.000E+00  0.150E+01  0.000E+00
 CH         C3H8                  C4H8       H                      0.209E-11  0.000E+00 -0.240E+03  0.316E+01  0.100E+03
 CH         C3H8                  C3H6       CH3                    0.988E-11  0.000E+00 -0.240E+03  0.316E+01  0.100E+03
 CH         C3H8                  C2H5       C2H4                   0.570E-11  0.000E+00 -0.240E+03  0.316E+01  0.100E+03
 CH         C3H8                  C2H4       C2H4       H           0.133E-11  0.000E+00 -0.240E+03  0.316E+01  0.100E+03
 CH         C4H2                  SOOT       H                      0.421E-09 -0.233E+00  0.160E+02  0.100E+02  0.100E+03
 CH         C4H4                  SOOT       H                      0.200E-09  0.000E+00  0.000E+00  0.200E+01  0.000E+00
 CH         C4H8                  SOOT       H                      0.430E-09 -0.529E+00  0.335E+02  0.125E+01  0.000E+00
 CH         C4H10                 SOOT       H                      0.220E-10  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 CH         C4H10                 C4H8       CH3                    0.880E-11  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 CH         C4H10                 C3H7       C2H4                   0.880E-11  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 CH         C4H10                 C3H6       C2H5                   0.264E-09  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 CH         C4H10                 C3H6       C2H4       H           0.396E-10  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 CH         C4H10                 C2H4       C2H4       CH3         0.968E-10  0.000E+00 -0.280E+02  0.316E+01  0.100E+03
 1CH2       H2                    3CH2       H2                     0.250E-10  0.000E+00  0.000E+00  0.200E+01  0.700E+01
 1CH2       H2                    CH3        H                      0.800E-10  0.000E+00  0.000E+00  0.160E+01  0.700E+01
 1CH2       1CH2                  C2H2       H          H           0.500E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       3CH2                  C2H2       H          H           0.300E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       CH3                   C2H4       H                      0.300E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       CH4                   CH3        CH3                    0.279E-10  0.000E+00 -0.250E+03  0.108E+01  0.400E+02
 1CH2       CH4                   3CH2       CH4                    0.310E-11  0.000E+00 -0.250E+03  0.108E+01  0.400E+02
 1CH2       C2H                   cC3H2      H                      0.100E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       C2H                   tC3H2      H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       C2H                   lC3H2      H                      0.500E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       C2H2                  3CH2       C2H2                   0.230E-09  0.000E+00  0.000E+00  0.180E+01  0.210E+02
 1CH2       C2H2                  C3H3       H                      0.760E-10 -0.300E+00  0.000E+00  0.180E+01  0.210E+02
 1CH2       C2H3                  C2H2       CH3                    0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 1CH2       C2H4                  3CH2       C2H4                   0.140E-09  0.000E+00  0.000E+00  0.180E+01  0.210E+02
 1CH2       C2H4                  C3H5       H                      0.630E-10  0.000E+00  0.000E+00  0.180E+01  0.210E+02
 1CH2       C2H5                  C2H4       CH3                    0.150E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 1CH2       C2H5                  C3H6       H                      0.150E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 1CH2       C2H6                  3CH2       C2H6                   0.360E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       C2H6                  C2H5       CH3                    0.190E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       C3                    C4H        H                      0.200E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       CH3C2H                C4H5       H                      0.962E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 1CH2       CH2CCH2               C4H5       H                      0.962E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 1CH2       C3H5                  C4H6       H                      0.333E-09  0.000E+00  0.000E+00  0.250E+01  0.100E+03
 1CH2       C3H5                  C2H4       C2H3                   0.670E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       C3H7                  C2H5       C2H4                   0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 1CH2       C3H7                  C3H6       CH3                    0.300E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 1CH2       C3H8                  C2H5       C2H5                   0.160E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 1CH2       C4H                   C4H2       CH                     0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 1CH2       C4H2                  SOOT       H                      0.962E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 1CH2       N2                    3CH2       N2                     0.110E-10  0.810E+00  0.000E+00  0.160E+01  0.000E+00
 1CH2       cC3H2                 C4H3       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       tC3H2                 C4H3       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 1CH2       lC3H2                 C4H3       H                      0.300E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       H2                    CH3        H                      0.800E-11  0.000E+00  0.450E+04  0.100E+02  0.100E+04
 3CH2       3CH2                  C2H2       H          H           0.700E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       3CH2                  C2H2       H2                     0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       3CH2                  C2H3       H                      0.500E-11  0.000E+00  0.000E+00  0.400E+01  0.000E+00
 3CH2       CH3                   C2H4       H                      0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.000E+00
 3CH2       CH4                   CH3        CH3                    0.713E-11  0.000E+00  0.505E+04  0.300E+01  0.100E+03
 3CH2       C2H                   cC3H2      H                      0.400E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C2H                   tC3H2      H                      0.200E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C2H                   lC3H2      H                      0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C2H                   cC3H       H2                     0.100E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C2H                   lC3H       H2                     0.100E-10  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C2H3                  C2H2       CH3                    0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 3CH2       C2H5                  C2H4       CH3                    0.300E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 3CH2       cC3H2                 C4H3       H                      0.100E-12  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 3CH2       cC3H2                 C2H2       C2H2                   0.100E-12  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 3CH2       C3H3                  C4H4       H                      0.100E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 3CH2       C3H5                  C4H6       H                      0.500E-10  0.000E+00  0.000E+00  0.250E+01  0.100E+03
 3CH2       C3H5                  C2H3       C2H4                   0.160E-10  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 3CH2       C3H7                  C2H4       C2H5                   0.301E-10  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 3CH2       C3H7                  C3H6       CH3                    0.300E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 3CH2       C4H                   C4H2       CH                     0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 3CH2       C4H2                  C4H        CH3                    0.216E-10  0.000E+00  0.216E+04  0.125E+01  0.100E+03
 3CH2       C4H3                  C4H2       CH3                    0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 CH3        H2                    H          CH4                    0.699E-13  0.274E+01  0.474E+04  0.200E+01  0.100E+03
 CH3        CH3                   C2H5       H                      0.146E-10  0.100E+00  0.534E+04  0.200E+01  0.100E+03
 CH3        C2H                   C3H3       H                      0.100E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH3        C2H3                  C2H2       CH4                    0.330E-10  0.000E+00  0.000E+00  0.140E+01  0.000E+00
 CH3        C2H4                  C2H3       CH4                    0.161E-13  0.370E+01  0.478E+04  0.200E+01  0.100E+03
 CH3        C2H5                  C2H4       CH4                    0.191E-11  0.000E+00  0.000E+00  0.250E+01  0.100E+03
 CH3        C2H6                  C2H5       CH4                    0.182E-15  0.600E+01  0.304E+04  0.158E+01  0.100E+03
 CH3        cC3H                  C4H3       H                      0.100E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH3        lC3H                  C4H3       H                      0.100E-09  0.000E+00  0.000E+00  0.300E+01  0.000E+00
 CH3        cC3H2                 C4H4       H                      0.100E-10  0.000E+00  0.700E+03  0.400E+01  0.000E+00
 CH3        cC3H2                 C2H3       C2H2                   0.100E-10  0.000E+00  0.700E+03  0.400E+01  0.000E+00
 CH3        tC3H2                 C4H4       H                      0.400E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 CH3        tC3H2                 C2H3       C2H2                   0.400E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 CH3        lC3H2                 C4H4       H                      0.400E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 CH3        lC3H2                 C2H3       C2H2                   0.400E-10  0.000E+00  0.000E+00  0.100E+02  0.000E+00
 CH3        CH3C2H                C2H6       C2H                    0.832E-12  0.000E+00  0.443E+04  0.200E+01  0.100E+03
 CH3        CH2CCH2               C2H5       C2H2                   0.332E-12  0.000E+00  0.408E+04  0.200E+01  0.100E+03
 CH3        C3H5                  CH3C2H     CH4                    0.403E-12 -0.320E+00 -0.660E+02  0.300E+01  0.100E+03
 CH3        C3H5                  CH2CCH2    CH4                    0.403E-12 -0.320E+00 -0.660E+02  0.300E+01  0.100E+03
 CH3        C3H6                  C3H5       CH4                    0.232E-12  0.000E+00  0.439E+04  0.200E+01  0.100E+03
 CH3        C3H7                  C3H6       CH4                    0.752E-11  0.680E+00  0.000E+00  0.300E+01  0.000E+00
 CH3        C3H8                  C3H7       CH4                    0.165E-14  0.365E+01  0.360E+04  0.150E+01  0.100E+03
 CH3        C4H                   SOOT       H                      0.400E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 CH3        C4H3                  C4H2       CH4                    0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 CH3        C4H4                  C4H3       CH4                    0.661E-12  0.000E+00  0.250E+04  0.200E+01  0.100E+03
 CH3        C4H5                  C4H4       CH4                    0.300E-10  0.000E+00  0.000E+00  0.100E+02  0.100E+03
 C2         H2                    C2H        H                      0.177E-09  0.000E+00  0.147E+04  0.200E+01  0.100E+03
 C2         CH4                   C2H        CH3                    0.120E-10  0.000E+00  0.000E+00  0.180E+01  0.700E+01
 C2         C2H2                  C4H        H                      0.400E-09  0.000E+00  0.000E+00  0.160E+01  0.000E+00
 C2         C2H4                  C4H3       H                      0.300E-09  0.000E+00  0.000E+00  0.180E+01  0.000E+00
 C2         C2H4                  C2H2       C2H2                   0.100E-09  0.000E+00  0.000E+00  0.200E+01  0.000E+00
 C2         C6H6                  SOOT                              0.520E-09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
 C2H        H2                    C2H2       H                      0.120E-10  0.000E+00  0.998E+03  0.160E+01  0.600E+02
 C2H        CH4                   C2H2       CH3                    0.120E-10  0.000E+00  0.491E+03  0.120E+01  0.300E+02
 C2H        C2H                   C2H2       C2                     0.300E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
 C2H        C2H2                  C4H2       H                      0.130E-09  0.000E+00  0.000E+00  0.200E+01  0.000E+00
 C2H        C2H3                  C2H2       C2H2                   0.160E-11  0.000E+00  0.000E+00  0.300E+01  0.100E+03
