molecule_id	title	formula	smiles	inchi	inchikey	mw
pbm-000040	glyceraldehyde	C3H6O3	C(C(C=O)O)O	InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2	MNQZXJOMYWMBOU-UHFFFAOYSA-N	90.0800018311
pbm-000041	Acetaldehyde	C2H4O	CC=O	InChI=1S/C2H4O/c1-2-3/h2H,1H3	IKHGUXGNUITLKF-UHFFFAOYSA-N	44.0499992371
pbm-000042	lactonitrile	C3H5NO	CC(C#N)O	InChI=1S/C3H5NO/c1-3(5)2-4/h3,5H,1H3	WOFDVDFSGLBFAC-UHFFFAOYSA-N	71.0800018311
pbm-000043	2-aminopropanenitrile	C3H6N2	CC(C#N)N	InChI=1S/C3H6N2/c1-3(5)2-4/h3H,5H2,1H3	UAMZETBJZRERCQ-UHFFFAOYSA-N	70.0899963379
pbm-000044	lactaldehyde	C3H6O2	CC(C=O)O	InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3	BSABBBMNWQWLLU-UHFFFAOYSA-N	74.0800018311
pbm-000045		C5H9NO2	CC(O)CC(O)C#N	InChI=1S/C5H9NO2/c1-4(7)2-5(8)3-6/h4-5,7-8H,2H2,1H3	XGMCXVBHHRGPFF-UHFFFAOYSA-N	115.063328528
pbm-000046	2-amino-3-hydroxybutanenitrile	C4H8N2O	CC(C(C#N)N)O	InChI=1S/C4H8N2O/c1-3(7)4(6)2-5/h3-4,7H,6H2,1H3	VSLPYOQEAHSTCW-UHFFFAOYSA-N	100.1200027466
pbm-000047	cyanamide	CH2N2	C(#N)N	InChI=1S/CH2N2/c2-1-3/h2H2	XZMCDFZZKTWFGF-UHFFFAOYSA-N	42.0400009155
pbm-000048	1,3-oxazol-2-amine	C3H4N2O	C1=COC(=N1)N	InChI=1S/C3H4N2O/c4-3-5-1-2-6-3/h1-2H,(H2,4,5)	ACTKAGSPIFDCMF-UHFFFAOYSA-N	84.0800018311
pbm-000049	5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol	C6H10N2O4	C(C1C(C2C(O1)N=C(O2)N)O)O	InChI=1S/C6H10N2O4/c7-6-8-5-4(12-6)3(10)2(1-9)11-5/h2-5,9-10H,1H2,(H2,7,8)	IVFVSTOFYHUJRU-UHFFFAOYSA-N	174.1499938965
pbm-000050	Urea	CH4N2O	C(=O)(N)N	InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)	XSQUKJJJFZCRTK-UHFFFAOYSA-N	60.0559997559
pbm-000051	cyanoacetylene	C3HN	C#CC#N	InChI=1S/C3HN/c1-2-3-4/h1H	LNDJVIYUJOJFSO-UHFFFAOYSA-N	51.0499992371
pbm-000052			NC1=NC2=N(C=C1)C1OC(CO)C(O)C1O2	InChI=1S/C9H12N3O4/c10-5-1-2-12-8-7(16-9(12)11-5)6(14)4(3-13)15-8/h1-2,4,6-8,13-14H,3H2,(H2,10,11)	BSHMQUOJXSLPQX-UHFFFAOYSA-N	
pbm-000054	4-amino-1-[2-hydroxy-6-(hydroxymethyl)-2-oxidotetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one	C9H12N3O7P	C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)O	InChI=1S/C9H12N3O7P/c10-5-1-2-12(9(14)11-5)8-7-6(4(3-13)17-8)18-20(15,16)19-7/h1-2,4,6-8,13H,3H2,(H,15,16)(H2,10,11,14)	NMPZCCZXCOMSDQ-UHFFFAOYSA-N	305.1799926758
pbm-000055	4-hydroxy-1-[2-hydroxy-6-(hydroxymethyl)-2-oxotetrahydro-2h-2lambda~5~-furo[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidin-2(1h)-one	C9H11N2O8P	C1=CN(C(=O)NC1=O)C2C3C(C(O2)CO)OP(=O)(O3)O	InChI=1S/C9H11N2O8P/c12-3-4-6-7(19-20(15,16)18-6)8(17-4)11-2-1-5(13)10-9(11)14/h1-2,4,6-8,12H,3H2,(H,15,16)(H,10,13,14)	HWDMHJDYMFRXOX-UHFFFAOYSA-N	306.1700134277
pbm-000056	dihydroxyacetone	C3H6O3	C(C(=O)CO)O	InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2	RXKJFZQQPQGTFL-UHFFFAOYSA-N	90.0800018311
pbm-000057	acetone	C3H6O	CC(=O)C	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N	58.0800018311
pbm-000058	hydroxyacetone	C3H6O2	CC(=O)CO	InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3	XLSMFKSTNGKWQX-UHFFFAOYSA-N	74.0800018311
pbm-000059	glycerin	C3H8O3	C(C(CO)O)O	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	PEDCQBHIVMGVHV-UHFFFAOYSA-N	92.0899963379
pbm-000060	acetone cyanohydrin	C4H7NO	CC(C)(C#N)O	InChI=1S/C4H7NO/c1-4(2,6)3-5/h6H,1-2H3	MWFMGBPGAXYFAR-UHFFFAOYSA-N	85.0999984741
pbm-000061	2-hydroxy-2-methylpropanethioamide	C4H9NOS	CC(C)(C(=S)N)O	InChI=1S/C4H9NOS/c1-4(2,6)3(5)7/h6H,1-2H3,(H2,5,7)	UEALJPXRGOJHRH-UHFFFAOYSA-N	119.1900024414
pbm-000062	2-hydroxy-3-methylbutanenitrile	C5H9NO	CC(C)C(C#N)O	InChI=1S/C5H9NO/c1-4(2)5(7)3-6/h4-5,7H,1-2H3	YRBPUNHOIVAUFA-UHFFFAOYSA-N	99.1299972534
pbm-000063	2-amino-3-methylbutanenitrile	C5H10N2	CC(C)C(C#N)N	InChI=1S/C5H10N2/c1-4(2)5(7)3-6/h4-5H,7H2,1-2H3	ZMMPZEFSSVTIIW-UHFFFAOYSA-N	98.1500015259
pbm-000064	2-hydroxy-3-methylbutanethioamide	C5H11NOS	CC(C)C(C(=S)N)O	InChI=1S/C5H11NOS/c1-3(2)4(7)5(6)8/h3-4,7H,1-2H3,(H2,6,8)	ALGMEIRKIBWICF-UHFFFAOYSA-N	133.2100067139
pbm-000065	3-methylbutanethioamide	C5H11NS	CC(C)CC(=S)N	InChI=1S/C5H11NS/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H2,6,7)	NFWCTMFZCLAVSD-UHFFFAOYSA-N	117.2200012207
pbm-000066	2-hydroxy-4-methylpentanenitrile	C6H11NO	CC(C)CC(C#N)O	InChI=1S/C6H11NO/c1-5(2)3-6(8)4-7/h5-6,8H,3H2,1-2H3	HAQDYBJHNGGTLI-UHFFFAOYSA-N	113.1600036621
pbm-000067	acetylene	C2H2	C#C	InChI=1S/C2H2/c1-2/h1-2H	HSFWRNGVRCDJHI-UHFFFAOYSA-N	26.0400009155
pbm-000068	acrylonitrile	C3H3N	C=CC#N	InChI=1S/C3H3N/c1-2-3-4/h2H,1H2	NLHHRLWOUZZQLW-UHFFFAOYSA-N	53.0600013733
pbm-000069	3-aminopropanenitrile	C3H6N2	C(CN)C#N	InChI=1S/C3H6N2/c4-2-1-3-5/h1-2,4H2	AGSPXMVUFBBBMO-UHFFFAOYSA-N	70.0899963379
pbm-000070	2-(2-cyanoethyl)guanidine	C4H8N4	C(CN=C(N)N)C#N	InChI=1S/C4H8N4/c5-2-1-3-8-4(6)7/h1,3H2,(H4,6,7,8)	AEMBKSXWMZVMTN-UHFFFAOYSA-N	112.1299972534
