# 53 two-body Hadean-atmosphere reactions from Pearce, He & Horst (2022).
# Columns: ID | MODULE | REACTION | CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
# Multi-step mechanisms are reduced to their net reactants and final products; source files remain unmodified.

HAD022 | pearce2022_hadean_extension | C2H6 + CH -> CH3CHCH2 + H | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 22 | published_network
HAD023 | pearce2022_hadean_extension | C2H6 + CH3 -> CH4 + C2H4 + H | thermal | modified_arrhenius(alpha=1.8e-16,beta=6.0,gamma=3040,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 23 | published_network
HAD024 | pearce2022_hadean_extension | C2H6 + C2H -> C2H2 + C2H4 + H | thermal | modified_arrhenius(alpha=6.0e-12,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 24 | published_network
HAD025 | pearce2022_hadean_extension | C2H6 + CN -> HCN + C2H4 + H | thermal | modified_arrhenius(alpha=3.5e-12,beta=2.16,gamma=624,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 25 | published_network
HAD026 | pearce2022_hadean_extension | C2H6 + O1D -> C2H4 + OH + H | thermal | modified_arrhenius(alpha=6.3e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 26 | published_network
HAD027 | pearce2022_hadean_extension | C2H6 + O1D -> C2H6 + O | thermal | modified_arrhenius(alpha=7.3e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 27 | published_network
HAD028 | pearce2022_hadean_extension | CH3CHCH2 + CN -> CH3CN + C2H2 + H | thermal | modified_arrhenius(alpha=1.7e-10,beta=0,gamma=-51,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 28 | published_network
HAD029 | pearce2022_hadean_extension | CH3CHCH2 + C2H -> CH2CHCH2 + C2H2 | thermal | modified_arrhenius(alpha=6.0e-12,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 29 | published_network
HAD030 | pearce2022_hadean_extension | CH3OH + N -> CH3 + HNO | thermal | modified_arrhenius(alpha=4.0e-10,beta=0,gamma=4330,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 30 | published_network
HAD031 | pearce2022_hadean_extension | CH3OH + OH -> H2CO + H2O + H | thermal | modified_arrhenius(alpha=1.1e-12,beta=1.44,gamma=56,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 31 | published_network
HAD032 | pearce2022_hadean_extension | CH3CHO + N -> HCN + H2 + HCO | thermal | modified_arrhenius(alpha=1.0e-14,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 32 | published_network
HAD033 | pearce2022_hadean_extension | CH3CHO + H -> CO + H2 + CH3 | thermal | modified_arrhenius(alpha=5.0e-13,beta=2.75,gamma=486,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 33 | published_network
HAD034 | pearce2022_hadean_extension | CH3CHO + H -> CH4 + HCO | thermal | modified_arrhenius(alpha=8.8e-14,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 34 | published_network
HAD035 | pearce2022_hadean_extension | NH2 + O -> H + HNO | thermal | modified_arrhenius(alpha=7.5e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 35 | published_network
HAD036 | pearce2022_hadean_extension | NH2 + O -> OH + NH | thermal | modified_arrhenius(alpha=1.2e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 36 | published_network
HAD037 | pearce2022_hadean_extension | NH2 + O -> H2 + NO | thermal | modified_arrhenius(alpha=8.3e-12,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 37 | published_network
HAD038 | pearce2022_hadean_extension | NH2 + NO -> N2 + H2O | thermal | modified_arrhenius(alpha=5.9e-11,beta=-2.37,gamma=437,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 38 | published_network
HAD039 | pearce2022_hadean_extension | NH2 + OH -> H2O + NH | thermal | modified_arrhenius(alpha=7.7e-13,beta=1.5,gamma=230,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 39 | published_network
HAD040 | pearce2022_hadean_extension | NH2 + OH -> NH3 + O | thermal | modified_arrhenius(alpha=5.0e-15,beta=2.6,gamma=870,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 40 | published_network
HAD041 | pearce2022_hadean_extension | NH2 + HO2 -> H2O + HNO | thermal | modified_arrhenius(alpha=6.1e-16,beta=0.55,gamma=265,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 41 | published_network
HAD042 | pearce2022_hadean_extension | NH2 + HO2 -> NH3 + O2 | thermal | modified_arrhenius(alpha=1.9e-16,beta=1.55,gamma=1020,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 42 | published_network
HAD043 | pearce2022_hadean_extension | NH2 + H2 -> NH3 + H | thermal | modified_arrhenius(alpha=2.1e-12,beta=0,gamma=4281,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 43 | published_network
HAD044 | pearce2022_hadean_extension | NH2 + C2H6 -> NH3 + C2H4 + H | thermal | modified_arrhenius(alpha=6.1e-13,beta=0,gamma=3600,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 44 | published_network
HAD045 | pearce2022_hadean_extension | NH2 + CH4 -> NH3 + CH3 | thermal | modified_arrhenius(alpha=7.8e-12,beta=0,gamma=4680,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 45 | published_network
HAD046 | pearce2022_hadean_extension | NH3 + O -> NH2 + OH | thermal | modified_arrhenius(alpha=1.6e-11,beta=0,gamma=3670,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 46 | published_network
HAD047 | pearce2022_hadean_extension | NH3 + OH -> NH2 + H2O | thermal | modified_arrhenius(alpha=3.5e-12,beta=0,gamma=925,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 47 | published_network
HAD048 | pearce2022_hadean_extension | NH3 + CN -> HCN + NH2 | thermal | modified_arrhenius(alpha=1.5e-11,beta=0,gamma=181,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 48 | published_network
HAD049 | pearce2022_hadean_extension | HNO + H -> H2 + NO | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=500,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 49 | published_network
HAD050 | pearce2022_hadean_extension | HNO + O -> OH + NO | thermal | modified_arrhenius(alpha=3.8e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 50 | published_network
HAD051 | pearce2022_hadean_extension | HNO + OH -> H2O + NO | thermal | modified_arrhenius(alpha=8.0e-11,beta=0,gamma=500,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 51 | published_network
HAD052 | pearce2022_hadean_extension | HNO + CN -> HCN + NO | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 52 | published_network
HAD053 | pearce2022_hadean_extension | HNO + HCO -> H2CO + NO | thermal | modified_arrhenius(alpha=1.0e-12,beta=0,gamma=1000,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 53 | published_network
