# Complete CRAHCN plus CRAHCN-O oxygen extension, transcribed from the published supporting tables.
# Columns: ID | MODULE | REACTION | CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
# Multi-step mechanisms are reduced to their net reactants and final products; source files remain unmodified.

CR23 | crahcn_lindemann | CH23 + CH23 + M -> C2H4 + M | three_body | lindemann(k_inf=5.3e-11,k0=2.6e-26,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 23 | published_network
CR24 | crahcn_lindemann | CH23 + H + M -> CH3 + M | three_body | lindemann(k_inf=2.0e-10,k0=4.8e-29,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 24 | published_network
CR25 | crahcn_lindemann | CH21 + CH21 + M -> C2H4 + M | three_body | lindemann(k_inf=7.1e-11,k0=5.4e-25,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 25 | published_network
CR26 | crahcn_lindemann | CH21 + H2 + M -> CH4 + M | three_body | lindemann(k_inf=1.2e-10,k0=1.4e-27,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 26 | published_network
CR27 | crahcn_lindemann | CH21 + H + M -> CH3 + M | three_body | lindemann(k_inf=2.3e-10,k0=3.7e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 27 | published_network
CR28 | crahcn_lindemann | CH + CH + M -> C2H2 + M | three_body | lindemann(k_inf=1.9e-10,k0=3.5e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 28 | published_network
CR29 | crahcn_lindemann | CH + H2 + M -> CH3 + M | three_body | lindemann(k_inf=9.6e-11,k0=9.0e-30,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 29 | published_network
CR30 | crahcn_lindemann | CH + H + M -> CH23 + M | three_body | lindemann(k_inf=3.2e-11,k0=2.0e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 30 | published_network
CR31 | crahcn_lindemann | CH + H + M -> CH21 + M | three_body | lindemann(k_inf=1.4e-11,k0=4.4e-31,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 31 | published_network
CR32 | crahcn_lindemann | H + H + M -> H2 + M | three_body | lindemann(k_inf=1.9e-10,k0=7.4e-33,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 32 | published_network
