 2110023.854447 3.425E-29 1.074E-07.06790.085  464.17170.75-.011466       6 0 0 15       0 0 0 01                    P 34e     466653343910 9 811    67.0   69.0
 2110024.616456 4.305E-30 1.219E-07.07220.097  815.80320.70-.009557       6 1 1 15       0 1 1 01                    R 19e     466653343910 9 811    41.0   39.0
 2110024.721230 4.424E-30 1.226E-07.07260.098  801.17310.69-.009405       6 1 1 15       0 1 1 01                    R 18f     466653343910 9 811    39.0   37.0
 2110025.755220 4.066E-30 1.226E-07.07130.095  847.82630.71-.009850       6 1 1 15       0 1 1 01                    R 21e     466653343910 9 811    45.0   43.0
 2110026.024905 4.237E-30 1.236E-07.07170.096  831.68290.70-.009705       6 1 1 15       0 1 1 01                    R 20f     466653343910 9 811    43.0   41.0
 2110026.054288 4.163E-29 1.077E-07.06830.087  411.92250.75-.011294       6 0 0 15       0 0 0 01                    P 32e     466653343910 9 811    63.0   65.0
 2110026.853930 3.750E-30 1.232E-07.07060.094  882.97140.72-.010130       6 1 1 15       0 1 1 01                    R 23e     466653343910 9 811    49.0   47.0
 2110027.302022 3.962E-30 1.246E-07.07090.095  865.31990.71-.009992       6 1 1 15       0 1 1 01                    R 22f     466653343910 9 811    47.0   45.0
 2110027.540978 1.152E-30 1.244E-08.06640.077  772.11070.75-.011212       7 1 1 04       0 0 0 01                    P 44e     465553343910 9 811    87.0   89.0
 2110027.912435 3.385E-30 1.238E-07.06990.092  921.23810.73-.010400       6 1 1 15       0 1 1 01                    R 25e     466653343910 9 811    53.0   51.0
 2110028.215812 4.969E-29 1.082E-07.06880.088  362.78830.74-.011119       6 0 0 15       0 0 0 01                    P 30e     466653343910 9 811    59.0   61.0
 2110028.552309 3.622E-30 1.255E-07.07020.093  902.08370.72-.010266       6 1 1 15       0 1 1 01                    R 24f     466653343910 9 811    51.0   49.0
 2110028.930578 2.988E-30 1.244E-07.06930.090  962.62570.74-.010659       6 1 1 15       0 1 1 01                    R 27e     466653343910 9 811    57.0   55.0
 2110029.426119 1.458E-30 1.187E-08.06660.079  704.30050.75-.011067       7 1 1 04       0 0 0 01                    P 42e     466553343910 9 811    83.0   85.0
 2110029.775475 3.239E-30 1.264E-07.06960.091  941.97360.73-.010530       6 1 1 15       0 1 1 01                    R 26f     466653343910 9 811    55.0   53.0
 2110029.908195 2.587E-30 1.249E-07.06880.088 1007.13350.74-.010910       6 1 1 15       0 1 1 01                    R 29e     466653343910 9 811    61.0   59.0
 2110030.339028 5.816E-29 1.087E-07.06930.090  316.76990.74-.010943       6 0 0 15       0 0 0 01                    P 28e     466653343910 9 811    55.0   57.0
 2110030.845121 2.196E-30 1.255E-07.06830.087 1054.76070.75-.011152       6 1 1 15       0 1 1 01                    R 31e     466653343910 9 811    65.0   63.0
 2110030.971213 2.839E-30 1.273E-07.06900.089  984.98900.74-.010785       6 1 1 15       0 1 1 01                    R 28f     466653343910 9 811    59.0   57.0
 2110031.293831 1.804E-30 1.127E-08.06690.080  639.60040.76-.010919       7 1 1 04       0 0 0 01                    P 40e     466653343910 9 811    79.0   81.0
 2110031.741192 1.829E-30 1.260E-07.06790.085 1105.50660.75-.011388       6 1 1 15       0 1 1 01                    R 33e     466653343910 9 811    69.0   67.0
 2110032.139198 2.439E-30 1.282E-07.06850.088 1031.12910.75-.011032       6 1 1 15       0 1 1 01                    R 30f     466653343910 9 811    63.0   61.0
 2110032.423904 6.678E-29 1.093E-07.06990.092  273.86800.73-.010763       6 0 0 15       0 0 0 01                    P 26e     466653343910 9 811    51.0   53.0
 2110032.596260 1.495E-30 1.265E-07.06750.083 1159.37030.76-.011617       6 1 1 15       0 1 1 01                    R 35e     466653343910 9 811    73.0   71.0
 2110033.144131 2.182E-30 1.065E-08.06720.082  578.01160.76-.010770       7 1 1 04       0 0 0 01                    P 38e     466653343910 9 811    75.0   77.0
 2110033.279094 2.057E-30 1.292E-07.06810.086 1080.39310.75-.011271       6 1 1 15       0 1 1 01                    R 32f     466653343910 9 811    67.0   65.0
 2110033.410210 1.199E-30 1.269E-07.06720.082 1216.35090.76-.011839       6 1 1 15       0 1 1 01                    R 37e     466653343910 9 811    77.0   75.0
 2110034.390552 1.701E-30 1.301E-07.06770.084 1132.78030.75-.011503       6 1 1 15       0 1 1 01                    R 34f     466653343910 9 811    71.0   69.0
 2110034.470366 7.507E-29 1.099E-07.07060.094  234.08340.72-.010579       6 0 0 15       0 0 0 01                    P 24e     466653343910 9 811    47.0   49.0
 2110034.977081 2.578E-30 1.000E-08.06750.083  519.53500.76-.010619       7 1 1 04       0 0 0 01                    P 36e     466653343910 9 811    71.0   73.0
