 5110476.670053 4.450E-29 3.978E-08.06060.066  107.64240.75-.010140              5              0                    R  7      4556631011 5 5 1 8    17.0   15.0
 5110478.934786 3.393E-29 3.152E-08.05950.065  138.39040.75-.010341              5              0                    R  8      4556631011 5 5 1 8    19.0   17.0
 5110481.023196 2.421E-29 2.408E-08.05860.064  172.97800.75-.010541              5              0                    R  9      4556631011 5 5 1 8    21.0   19.0
 5110482.935135 1.601E-29 1.753E-08.05770.063  211.40410.75-.010742              5              0                    R 10      4556631011 5 5 1 8    23.0   21.0
 5110483.889040 1.789E-31 1.484E-07.04430.047 1782.66240.67-.014445              5              0                    R 30      4456631011 5 5 1 8    63.0   61.0
 5110484.670458 9.647E-30 1.194E-08.05690.062  253.66720.74-.010943              5              0                    R 11      4556631011 5 5 1 8    25.0   23.0
 5110485.537352 2.594E-31 1.273E-07.04480.047 1667.97090.67-.014288              5              0                    R 29      4556631011 5 5 1 8    61.0   59.0
 5110486.229017 5.133E-30 7.363E-09.05610.060  299.76560.73-.011145              5              0                    R 12      4556631011 5 5 1 8    27.0   25.0
 5110487.006254 3.646E-31 1.079E-07.04540.048 1557.06070.67-.014128              5              0                    R 28      4556631011 5 5 1 8    59.0   57.0
 5110487.610665 2.258E-30 3.846E-09.05530.059  349.69750.72-.011346              5              0                    R 13      4556631011 5 5 1 8    29.0   27.0
 5110488.295892 4.962E-31 9.037E-08.04600.049 1449.93600.67-.013964              5              0                    R 27      4556631011 5 5 1 8    57.0   55.0
 5110488.815256 6.948E-31 1.438E-09.05450.059  403.46120.71-.011548              5              0                    R 14      4556631011 5 5 1 8    31.0   29.0
 5110489.406415 6.521E-31 7.450E-08.04650.049 1346.60080.67-.013797              5              0                    R 26      4556631011 5 5 1 8    55.0   53.0
 5110489.842643 7.117E-32 1.831E-10.05380.058  461.05450.70-.011748              5              0                    R 15      4556631011 5 5 1 8    33.0   31.0
 5110490.337970 8.249E-31 6.029E-08.04710.050 1247.05920.67-.013626              5              0                    R 25      4556631011 5 5 1 8    53.0   51.0
 5110490.692679 3.798E-32 1.242E-10.05310.057  522.47510.69-.011947              5              0                    R 16      4556631011 5 5 1 8    35.0   33.0
 5110491.090704 1.000E-30 4.771E-08.04770.051 1151.31500.67-.013452              5              0                    R 24      4556631011 5 5 1 8    51.0   49.0
 5110491.664764 1.155E-30 3.670E-08.04830.051 1059.37180.67-.013274              5              0                    R 23      4556631011 5 5 1 8    49.0   47.0
 5110492.060298 1.262E-30 2.722E-08.04900.052  971.23320.67-.013094              5              0                    R 22      4556631011 5 5 1 8    47.0   45.0
 5110492.177211 9.864E-31 7.540E-09.05100.054  729.67740.67-.012532              5              0                    R 19      4556631011 5 5 1 8    41.0   39.0
 5110492.277452 1.285E-30 1.923E-08.04960.053  886.90240.67-.012909              5              0                    R 21      4556631011 5 5 1 8    45.0   43.0
 5110492.316375 1.199E-30 1.268E-08.05030.053  806.38280.67-.012722              5              0                    R 20      4556631011 5 5 1 8    43.0   41.0
 5112247.652514 1.211E-31 2.521E-07.04430.047 1901.13080.67-.017192              6              0                    P 31      4356631011 5 5 1 8    61.0   63.0
 5112257.729384 2.057E-31 2.491E-07.04480.047 1782.66240.67-.017064              6              0                    P 30      4456631011 5 5 1 8    59.0   61.0
 5112267.600619 3.422E-31 2.460E-07.04540.048 1667.97090.67-.016934              6              0                    P 29      4456631011 5 5 1 8    57.0   59.0
 5112277.266076 5.583E-31 2.430E-07.04600.049 1557.06070.67-.016801              6              0                    P 28      4456631011 5 5 1 8    55.0   57.0
 5112286.725615 8.928E-31 2.400E-07.04650.049 1449.93600.67-.016666              6              0                    P 27      4456631011 5 5 1 8    53.0   55.0
 5112295.979091 1.400E-30 2.369E-07.04710.050 1346.60080.67-.016528              6              0                    P 26      4456631011 5 5 1 8    51.0   53.0
 5112305.026364 2.151E-30 2.339E-07.04770.051 1247.05920.67-.016388              6              0                    P 25      4456631011 5 5 1 8    49.0   51.0
 5112313.867289 3.238E-30 2.309E-07.04830.051 1151.31500.67-.016244              6              0                    P 24      4456631011 5 5 1 8    47.0   49.0
 5112322.501723 4.776E-30 2.278E-07.04900.052 1059.37180.67-.016098              6              0                    P 23      4456631011 5 5 1 8    45.0   47.0
 5112330.929522 6.901E-30 2.248E-07.04960.053  971.23320.67-.015947              6              0                    P 22      4456631011 5 5 1 8    43.0   45.0
 5112339.150542 9.767E-30 2.217E-07.05030.053  886.90240.67-.015793              6              0                    P 21      4456631011 5 5 1 8    41.0   43.0
 5112347.164638 1.354E-29 2.187E-07.05100.054  806.38280.67-.015635              6              0                    P 20      4456631011 5 5 1 8    39.0   41.0
 5112354.971667 1.836E-29 2.157E-07.05170.055  729.67740.67-.015472              6              0                    P 19      4456631011 5 5 1 8    37.0   39.0
 5112362.571483 2.438E-29 2.127E-07.05240.056  656.78920.68-.015304              6              0                    P 18      4456631011 5 5 1 8    35.0   37.0
 5112369.963941 3.167E-29 2.097E-07.05310.057  587.72090.69-.015130              6              0                    P 17      4456631011 5 5 1 8    33.0   35.0
 5112377.148896 4.022E-29 2.067E-07.05380.058  522.47510.70-.014949              6              0                    P 16      5456631011 5 5 1 8    31.0   33.0
 5112384.126202 4.995E-29 2.038E-07.05450.059  461.05450.71-.014761              6              0                    P 15      4456631011 5 5 1 8    29.0   31.0
 5112390.895713 6.058E-29 2.009E-07.05530.059  403.46120.72-.014564              6              0                    P 14      4456631011 5 5 1 8    27.0   29.0
 5112397.457285 7.174E-29 1.980E-07.05610.060  349.69750.73-.014356              6              0                    P 13      4456631011 5 5 1 8    25.0   27.0
 5112403.810771 8.287E-29 1.953E-07.05690.062  299.76560.74-.014135              6              0                    P 12      5456631011 5 5 1 8    23.0   25.0
 5112409.956025 9.329E-29 1.926E-07.05770.063  253.66720.75-.013900              6              0                    P 11      4456631011 5 5 1 8    21.0   23.0
 5112415.892900 1.022E-28 1.900E-07.05860.064  211.40410.75-.013645              6              0                    P 10      4456631011 5 5 1 8    19.0   21.0
 5112421.621251 1.087E-28 1.877E-07.05950.065  172.97800.75-.013367              6              0                    P  9      5456631011 5 5 1 8    17.0   19.0
 5112427.140931 1.121E-28 1.855E-07.06060.066  138.39040.75-.013060              6              0                    P  8      4456631011 5 5 1 8    15.0   17.0
 5112432.451793 1.117E-28 1.838E-07.06180.068  107.64240.75-.012714              6              0                    P  7      4456631011 5 5 1 8    13.0   15.0
 5112437.553692 1.068E-28 1.825E-07.06320.069   80.73540.74-.012320              6              0                    P  6      4456631011 5 5 1 8    11.0   13.0
 5112442.446480 9.756E-29 1.822E-07.06510.071   57.67040.74-.011859              6              0                    P  5      5456631011 5 5 1 8     9.0   11.0
