13113032.204660 3.199E-63 4.576E-03.04000.30018896.26180.660.000000       X3/2  11       X3/2   5                QQ 13.5ef     232210 6 7 2 1 1 0    56.0   56.0
13113034.066639 1.072E-52 2.723E-03.05300.30013591.72450.660.000000       X1/2   9       X3/2   4                RQ  4.5ef     232210 6 7 2 1 1 0    20.0   20.0
13113034.695836 4.417E-53 1.119E-03.05300.30013591.13070.660.000000       X1/2   9       X3/2   4                RQ  4.5fe     232210 6 7 2 1 1 0    20.0   20.0
13113034.944621 7.864E-35 9.489E-05.04000.300 4559.15590.660.000000       X1/2   5       X3/2   1                SR  7.5ff     232210 6 7 2 1 1 0    36.0   32.0
13113038.067588 4.805E-53 4.440E-04.04000.30013595.40490.660.000000       X1/2   8       X3/2   3                QP 14.5ff     232210 6 7 2 1 1 0    56.0   60.0
13113038.290307 9.258E-36 1.106E-05.04000.300 4556.92590.660.000000       X1/2   5       X3/2   1                SR  7.5ee     232210 6 7 2 1 1 0    36.0   32.0
13113038.332606 3.286E-30 2.637E-06.04000.300 1654.60010.660.000000       X3/2   4       X3/2   0                QQ  9.5ef     232210 6 7 2 1 1 0    40.0   40.0
13113039.750955 2.148E-64 2.996E-04.04000.30018890.85470.660.000000       X3/2  11       X3/2   5                QQ 13.5fe     232210 6 7 2 1 1 0    56.0   56.0
13113039.943517 1.145E-38 6.190E-06.04000.300 5890.50640.660.000000       X1/2   5       X3/2   1                SR 11.5ee     232210 6 7 2 1 1 0    52.0   48.0
13113039.972169 9.262E-49 1.237E-06.04000.30010482.57640.660.000000       X1/2   4       X3/2   0                SR 24.5ff     232210 6 7 2 1 1 0   104.0  100.0
13113041.248522 9.890E-37 9.184E-05.04000.300 5511.68740.660.000000       X1/2   5       X3/2   1                SR 10.5ff     232210 6 7 2 1 1 0    48.0   44.0
13113041.791451 4.466E-63 8.137E-03.04000.30018930.45000.660.000000       X1/2  11       X1/2   5                QQ 12.5fe     232210 6 7 2 1 1 0    52.0   52.0
13113041.885708 2.171E-33 7.400E-03.04000.300 4915.13010.660.000000       X3/2   4       X3/2   0                RR 16.5ff     232210 6 7 2 1 1 0    72.0   68.0
13113042.726695 2.265E-35 9.789E-05.04000.300 4843.07950.660.000000       X1/2   5       X3/2   1                SR  8.5ff     232210 6 7 2 1 1 0    40.0   36.0
13113043.235394 1.675E-33 5.423E-03.04000.300 4904.54340.660.000000       X3/2   4       X3/2   0                RR 16.5ee     232210 6 7 2 1 1 0    72.0   68.0
13113043.686712 1.804E-33 7.341E-03.04000.300 4939.77140.660.000000       X1/2   4       X1/2   0                RR 15.5ee     232210 6 7 2 1 1 0    68.0   64.0
13113044.446487 1.344E-33 5.288E-03.04000.300 4932.83610.660.000000       X1/2   4       X1/2   0                RR 15.5ff     232210 6 7 2 1 1 0    68.0   64.0
13113044.461497 1.015E-29 2.257E-06.04000.300 1368.71610.660.000000       X3/2   4       X1/2   0                QR  7.5ee     232210 6 7 2 1 1 0    36.0   32.0
13113044.625554 7.337E-29 7.965E-05.04000.300 1694.90280.660.000000       X1/2   4       X1/2   0                QQ  8.5fe     232210 6 7 2 1 1 0    36.0   36.0
13113044.896244 5.236E-36 9.636E-05.04000.300 5160.69250.660.000000       X1/2   5       X3/2   1                SR  9.5ff     232210 6 7 2 1 1 0    44.0   40.0
13113045.084974 2.202E-28 1.737E-04.04000.300 1650.81040.660.000000       X3/2   4       X3/2   0                QQ  9.5fe     232210 6 7 2 1 1 0    40.0   40.0
13113046.455393 1.485E-56 7.271E-04.04000.30015344.09930.660.000000       X1/2   9       X3/2   4                SR 11.5ff     232210 6 7 2 1 1 0    52.0   48.0
13113046.681836 8.507E-64 1.528E-03.04000.30018927.31260.660.000000       X1/2  11       X1/2   5                QQ 12.5ef     232210 6 7 2 1 1 0    52.0   52.0
13113046.895165 6.882E-24 5.024E-02.04000.300  544.82940.660.000000       X3/2   4       X3/2   0                PP  5.5ff     342210 6 7 2 1 1 0    20.0   24.0
13113047.153840 2.576E-36 1.099E-05.04000.300 4840.20500.660.000000       X1/2   5       X3/2   1                SR  8.5ee     232210 6 7 2 1 1 0    40.0   36.0
13113047.455772 8.040E-30 8.664E-06.04000.300 1693.28640.660.000000       X1/2   4       X1/2   0                QQ  8.5ef     232210 6 7 2 1 1 0    36.0   36.0
13113047.535153 7.173E-24 5.205E-02.04000.300  543.59550.660.000000       X3/2   4       X3/2   0                PP  5.5ee     342210 6 7 2 1 1 0    20.0   24.0
13113047.924908 2.588E-29 5.726E-06.04000.300 1367.61920.660.000000       X3/2   4       X1/2   0                QR  7.5ff     232210 6 7 2 1 1 0    36.0   32.0
13113047.995865 1.557E-52 1.392E-03.04000.30013588.31450.660.000000       X1/2   8       X3/2   3                QP 14.5ee     232210 6 7 2 1 1 0    56.0   60.0
13113048.173633 8.883E-38 8.085E-06.04000.300 5507.32990.660.000000       X1/2   5       X3/2   1                SR 10.5ee     232210 6 7 2 1 1 0    48.0   44.0
13113049.931876 1.705E-52 2.869E-03.06500.30013460.60010.660.000000       X1/2   9       X3/2   4                RQ  3.5ef     232210 6 7 2 1 1 0    16.0   16.0
13113050.376912 8.254E-53 1.387E-03.06500.30013460.27080.660.000000       X1/2   9       X3/2   4                RQ  3.5fe     232210 6 7 2 1 1 0    16.0   16.0
