 6111000.044400 2.580E-28 9.369E-07.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        33333351424110 9 9    15.0    5.0
 6111000.166700 1.997E-27 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          34333351424110 9 9     0.0    0.0
 6111000.212200 2.447E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          33333351424110 9 9     0.0    0.0
 6111000.237300 2.201E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111000.282600 1.051E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111000.335000 2.921E-27 0.000E+00.06300.081   10.48000.65-.019000                   0 0 0 0 1A1                   1          35333351424110 9 9     0.0    0.0
 6111000.376600 1.023E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          34333351424110 9 9     0.0    0.0
 6111000.416100 4.565E-27 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          35333351424110 9 9     0.0    0.0
 6111000.470600 2.329E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          35333351424110 9 9     0.0    0.0
 6111000.553700 9.816E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111000.594500 7.027E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111000.668500 5.446E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          33333351424110 9 9     0.0    0.0
 6111000.699000 1.332E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          36333351424110 9 9     0.0    0.0
 6111000.741400 1.695E-27 6.156E-06.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        34333351424110 9 9    15.0    5.0
 6111000.802000 1.119E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111000.900500 9.884E-27 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111000.943700 6.746E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111000.991500 4.672E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          35333351424110 9 9     0.0    0.0
 6111001.035700 6.561E-27 2.383E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        35333351424110 9 9    15.0    5.0
 6111001.070200 6.980E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111001.109800 1.567E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111001.207100 1.014E-27 3.683E-06.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        34333351424110 9 9    15.0    5.0
 6111001.288200 1.422E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111001.321900 2.683E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111001.426900 1.295E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111001.493600 1.378E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111001.531300 3.647E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111001.584300 2.585E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111001.631000 7.933E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          36333351424110 9 9     0.0    0.0
 6111001.890600 1.923E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          34333351424110 9 9     0.0    0.0
 6111001.969700 1.576E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111002.008800 1.058E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          36333351424110 9 9     0.0    0.0
 6111002.049400 1.433E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111002.105600 4.606E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          46333351424110 9 9     0.0    0.0
 6111002.138800 4.614E-26 0.000E+00.05300.075  575.15000.65-.024000                   0 0 0 0 1A1                  10          34333351424110 9 9     0.0    0.0
 6111002.222400 1.276E-26 4.635E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        46333351424110 9 9    15.0    5.0
 6111002.247200 1.547E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111002.313500 6.779E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111002.350700 3.470E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          46333351424110 9 9     0.0    0.0
 6111002.417900 2.514E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111002.523600 5.687E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111002.569000 8.954E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111002.652100 7.232E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111002.750100 5.936E-27 0.000E+00.06300.081   10.48000.65-.019000                   0 0 0 0 1A1                   1          46333351424110 9 9     0.0    0.0
 6111002.873500 2.407E-25 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111002.914400 1.892E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111002.947800 5.536E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111002.988800 8.136E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111003.103900 1.605E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111003.149900 1.689E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          36333351424110 9 9     0.0    0.0
 6111003.193000 8.849E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111003.241500 7.176E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          36333351424110 9 9     0.0    0.0
 6111003.312500 1.751E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          45333351424110 9 9     0.0    0.0
 6111003.334900 1.023E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          34333351424110 9 9     0.0    0.0
 6111003.388700 4.450E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          36333351424110 9 9     0.0    0.0
 6111003.441200 1.688E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          36333351424110 9 9     0.0    0.0
 6111003.495200 2.253E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          34333351424110 9 9     0.0    0.0
 6111003.544700 8.049E-27 2.925E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        46333351424110 9 9    15.0    5.0
 6111003.670700 1.411E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111003.715100 9.370E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111003.798500 3.978E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          46333351424110 9 9     0.0    0.0
 6111003.849000 1.279E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111003.955800 8.365E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111004.001200 1.082E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111004.042800 1.187E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111004.084500 2.855E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          34333351424110 9 9     0.0    0.0
 6111004.137800 1.341E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111004.176400 2.091E-27 7.599E-06.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        34333351424110 9 9    15.0    5.0
 6111004.254600 1.013E-27 3.681E-06.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        34333351424110 9 9    15.0    5.0
 6111004.306300 1.435E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
