 7114373.431397 4.768E-29 2.870E-03.03950.039 2340.87400.71-.011000       b      2       X      1                R 23R 23     d4455124921 9 6 0 4    49.0   47.0
 7114373.719139 3.839E-28 3.015E-03.04810.046 1814.01040.71-.010237       b      2       X      1                R 13Q 14     d4453124921 9 4 0 4    29.0   29.0
 7114374.023996 1.920E-28 2.809E-03.04560.043 1992.11650.71-.010409       b      2       X      1                R 17R 17     d4453124921 9 4 0 4    37.0   35.0
 7114374.190756 8.092E-29 2.854E-03.04180.041 2213.34780.71-.011000       b      2       X      1                R 21R 21     d4455124921 9 6 0 4    45.0   43.0
 7114374.304856 2.807E-29 3.034E-03.03720.038 2477.44730.71-.011000       b      2       X      1                R 25Q 26     d4455124921 9 6 0 4    53.0   53.0
 7114374.387146 1.288E-28 2.833E-03.04380.042 2097.08890.71-.011000       b      2       X      1                R 19R 19     d4455124921 9 6 0 4    41.0   39.0
 7114375.211592 2.933E-28 3.021E-03.04700.045 1896.34060.71-.010333       b      2       X      1                R 15Q 16     d4453124921 9 4 0 4    33.0   33.0
 7114375.612791 5.092E-29 3.033E-03.03950.039 2338.69260.71-.011000       b      2       X      1                R 23Q 24     d4455124921 9 6 0 4    49.0   49.0
 7114376.150120 2.089E-28 3.026E-03.04560.043 1989.99040.71-.010409       b      2       X      1                R 17Q 18     d4453124921 9 4 0 4    37.0   37.0
 7114376.353941 8.685E-29 3.032E-03.04180.041 2211.18460.71-.011000       b      2       X      1                R 21Q 22     d4455124921 9 6 0 4    45.0   45.0
 7114376.424765 3.358E-27 1.871E-03.03240.034 1422.49830.66-.014281       b      1       X      0                P 31P 31     d555242572122 6 912    61.0   63.0
 7114376.531931 1.391E-28 3.029E-03.04380.042 2094.94410.71-.011000       b      2       X      1                R 19Q 20     d4455124921 9 6 0 4    41.0   41.0
 7114378.160012 3.248E-27 1.794E-03.03290.034 1420.76310.66-.014167       b      1       X      0                P 31Q 30     d555242572122 6 912    61.0   61.0
 7114389.823831 7.351E-27 1.882E-03.03330.036 1248.20130.66-.014084       b      1       X      0                P 29P 29     d555242572122 6 912    57.0   59.0
 7114391.576456 7.092E-27 1.800E-03.03340.036 1246.44860.66-.014100       b      1       X      0                P 29Q 28     d555242572122 6 912    57.0   57.0
 7114402.696328 1.517E-26 1.894E-03.03530.037 1085.20330.66-.013110       b      1       X      0                P 27P 27     d555242572122 6 912    53.0   55.0
 7114404.466450 1.458E-26 1.806E-03.03590.037 1083.43320.66-.012723       b      1       X      0                P 27Q 26     d555242572122 6 912    53.0   53.0
 7114415.044405 2.946E-26 1.907E-03.03730.039  933.53090.66-.012276       b      1       X      0                P 25P 25     d555242572122 6 912    49.0   51.0
 7114416.832167 2.822E-26 1.811E-03.03730.039  931.74310.66-.012362       b      1       X      0                P 25Q 24     d555242572122 6 912    49.0   49.0
 7114426.869969 5.383E-26 1.922E-03.03960.040  793.20870.62-.011934       b      1       X      0                P 23P 23     d555242572122 6 912    45.0   47.0
 7114428.675552 5.135E-26 1.817E-03.03930.040  791.40310.70-.011389       b      1       X      0                P 23Q 22     d555242572122 6 912    45.0   45.0
 7114438.174694 9.215E-26 1.938E-03.04160.042  664.25950.67-.011859       b      1       X      0                P 21P 21     d575242573022 6 912    41.0   43.0
 7114439.998328 8.650E-26 1.823E-03.04120.042  662.43590.63-.011513       b      1       X      0                P 21Q 20     d575242573022 6 912    41.0   41.0
 7114448.960022 1.457E-25 1.957E-03.04350.043  546.70420.68-.011362       b      1       X      0                P 19P 19     d675243573022 6 912    37.0   39.0
 7114450.802008 1.378E-25 1.829E-03.04300.043  544.86220.70-.011030       b      1       X      0                P 19Q 18     d675244573022 6 912    37.0   37.0
 7114459.227163 2.199E-25 1.978E-03.04570.044  440.56180.66-.010940       b      1       X      0                P 17P 17     d675244573022 6 912    33.0   35.0
 7114461.087911 2.054E-25 1.835E-03.04460.044  438.70100.74-.010844       b      1       X      0                P 17Q 16     d675244573022 6 912    33.0   33.0
 7114468.977104 3.080E-25 2.005E-03.04670.045  345.84950.75-.009973       b      1       X      0                P 15P 15     d675244573022 6 912    29.0   31.0
 7114470.857185 2.858E-25 1.842E-03.04650.045  343.96940.73-.010207       b      1       X      0                P 15Q 14     d675244573022 6 912    29.0   29.0
 7114478.210606 4.031E-25 2.039E-03.04880.046  262.58270.74-.009726       b      1       X      0                P 13P 13     d675244573022 6 912    25.0   27.0
 7114480.110861 3.681E-25 1.849E-03.04810.046  260.68240.76-.010074       b      1       X      0                P 13Q 12     d675244573022 6 912    25.0   25.0
 7114486.928207 4.871E-25 2.085E-03.05000.047  190.77480.76-.009441       b      1       X      0                P 11P 11     d675244573022 6 912    21.0   23.0
 7114488.849953 4.376E-25 1.858E-03.05000.047  188.85310.75-.009612       b      1       X      0                P 11Q 10     d675244573022 6 912    21.0   21.0
